TMT	BLOCK	PLOT	TREE	SPECIES	ORIG COND	85 DIA	85 COND	90 DIA	90 COND	95 DIA	95 COND	00 DIA	00 COND	09 DIA	09 COND	20 DIA	20 COND	2020 Notes	13 COND	NOTES 2013	NOTES    edited or added 2011 EH										
1	1	A	1	HL	1	26.3	1	26.5	1	26.7	1	26.6	1	27	2	27.9	4	Tag #4133 - 15ft snag			09-SUPPRESSED	OK		"1= GREEN TREE, HEALTHY"							
1	1	A	2	HL	1	23.5	1	24.1	1	25.6	1	25.3	1	26	4		4	15ft snag. Lots of G. applanatum near this tree			09- dead standing	OK		2= LIVE TREE WITH SYMPTOMS							
1	1	A	3	HL	1	34.5	1	37.5	1	39	1	41.2	1	46.9	1			Missing				OK	GARMIN 60c  	3= PW							
1	1	A	4	HL	1	37	1	38.4	1	40.5	1	42	1	46.1	1	50.9	2	Wind blown leaning against tree.				OK	NOTES 2009 FOR PLOT 1-1A: 	4= DEAD NOT PW							
1	1	A	5	HL	1					16	1	17.1	1	20.2	2	24.4	2				09- suppressed	OK	"GPS  N44.53149°, W123.547626°"	5= STANDING DEAD PROBABLE BEETLES							
1	1	A	6	HL	1	25.1	1	26.4	1	27.8	1	29.9	1	34.8	1	4+L4:R79.2	1					OK	ACCURACY + OR- 24 FT								
1	1	A	7	DF	1	21.5	1	21.5	1	21.2	4		4	 	4		4				00-DEAD STANDING		OK	0= HARVESTED- STUMP							
1	1	A	8	HL	1	40.7	1	41.1	1	41.5	1	44	1	48.9	1	60	1					OK									
1	1	A	9	HL	1	71.4	1	76.4	1	81.2	1		3	 	3		3				00-DEAD ROOTROT DOWNPW+HA										
1	1	A	10	HL	1	28.5	1	29.6	1	30.7	1		3	 	3		3				00-DEAD ROOTROT DOWNPW+HA										
1	1	A	11	HL	1	49.4	1	51.4	1	52.5	1		3	 	3		3				00-DEAD ROOTROT DOWNPW+HA										
1	1	A	12	HL	1	46.7	1	46.6	1	47.3	1	44.5	1					All other trees are missing from this site - 2020			95-huge sweep; 09 gone? What does the 1995 note mean	OK									
1	1	A	13	RA						40.4	1	41.5	1	42.3	1							OK									
1	1	A	14	RA						46.5	1	47	1	48.4	1							OK									
1	1	A	15	RA						30.6	1	31.1	1	 	4		4				"00-BROKEN TOP-ALIVE?; 09 probably down, assumed dead"			OK							
1	1	A	16	RA						28.5	1			 	4		4				00-GONE UNDER 9? MISSING			OK							
1	1	A	17	RA						56.3	1	57.9	1	61	1							OK									
1	1	A	18	HL												18.2	1	New tree added to plot - 2020													
1	1	B	1	DF	1	22.4	1	22.4	3	22.4	3			 	3		3				95-Pw? Broken at 6'	OK									
1	1	B	2	DF	1	60.2	1	63	1	66.3	1	69.7	1	74	1	80.2	1					OK									
1	1	B	3	DF	1	28.4	1	27.8	3	27.7	3			18.8	4	33.5	4	Standing dead			95-Pw? Top out	OK									
1	1	B	4	DF	1	64.5	1	66.8	1	69.5	1	73.1	1	76.8	1	84.1	1					OK									
1	1	B	5	DF	1	58.5	1	60.1	1	62.2	1	64.6	1	66	1	69.8	1				0= HARVESTED- STUMP	OK									
1	1	B	6	DF	1	24.1	4	23.7	4		4		4		4		4				"1= GREEN TREE, HEALTHY"	OK									
1	1	B	7	DF	1	27.5	4	27.2	4		4		4		4		4				2= LIVE TREE WITH SYMPTOMS	OK									
1	1	B	8	DF	1	29.1	1	29.2	1	29.8	1	29.8	1	30	4		4	2020 - dead standing			3= PW	OK									
1	1	B	9	DF	1	41.3	1	42.6	1	43.9	1	44.9	1	47.5	1	48.4	1				4= DEAD NOT PW	OK									
1	1	B	10	DF	1	61.3	1	64.3	1	66.3	1	70	1	73.8	1	82.9	1				5= STANDING DEAD PROBABLE BEETLES	OK									
1	1	B	11	DF	1	44.8	1	46.7	1	48.8	1	50.5	1	51.5	1	54.6	1					OK									
1	1	B	12	HL												16.2	1					OK		GPS NOTES 2009: 		FOR PLOT 1-1B					
1	1	B	13	DF	1	47.2	1	49.8	1	51	1	53.4	1	56.3	1	58.6	1					OK		GARMIN 60c  WAYPOINT 87							
1	1	B	14	DF	1	31.3	1	35.3	1	35.7	1		4		4		4	2020 - snag			00-BROKEN		OK	ACCURACY + OR - 23 FT							
1	1	B	15	DF	1	46.5	1	48.9	1	52.2	1	54.5	1	58.5	1	64.6	1					OK		"N44.53076°, W123.54675°"							
1	1	B	16	DF	1	36.9	1	38.3	1	39	1		4	37.5	4		4	2020 - snag			00-BROKEN		OK								
1	1	B	17	DF	1	37.7	1	35.5	1	27.5	4		4		4		4	2020 - snag			95-Am	OK									
1	1	B	18	DF	1	57.5	1	60.3	1	63.9	1	66.5	1	71	1	77	1					OK									
1	1	B	19	DF	1	51.8	1	54.2	1	56.7	1	58.8	1	61.5	1	67.2	1					OK									
1	1	B	21	DF	1	54.7	1	57.4	1	61.1	1	64.4	1	69.5	1	76.6	1					OK									
1	1	B	22	RC	1			18	1	18.6	1	19	1	15.8	4		4				0= HARVESTED- STUMP	OK									
1	1	B	25	RC	1	15.7	1							17.5	4		4	Snag		24 - DF down for a while. 2020	2= LIVE TREE WITH SYMPTOMS	OK									
1	1	B	26	RC	1	19.7	1	19.9	1	19.6	1	20.4	1	21.3	1	23.5	1				3= PW	OK									
1	1	B	27	RC	1		4		3		1			 	4		4				4= DEAD NOT PW	OK									
1	1	B	28	RC	1							16.2	1	 	4		4				5= STANDING DEAD PROBABLE BEETLES	OK									
1	1	B	30	DF	1	36.8	1	37.1	1	37.5	1	38.1	1	37.8	1	38.5	1					OK									
1	1	C	1	DF	1	45	1	47.9	1	51.2	1	54.1	1	58.2	1	62	1					OK									
1	1	C	2	DF	1	44.2	1	45.1	1	47.7	1	48.9	1	50.9	1	53.3	1					OK									
1	1	C	4	HL	1	27.3	1	28	1	29.8	1	31.5	1	35.5	1	38.6	1					OK									
1	1	C	5	HL	1	19.5	1	19.5	1	20.2	1	21.1	1	21.9	1	23.8	1					OK									
1	1	C	6	HL	1	19.4	1	20.1	1	21.2	1	22.5	1	24.3	1	26.4	1					OK									
1	1	C	7	HL	1									 	4		4					OK									
1	1	C	8	DF	1	73	1	76.7	1	80.3	1	84.9	1	91.5	1	98	1					OK									
1	1	C	9	HL	1	20.8	1	21.8	1	22.9	1	24.7	1	 	4		4				09- on the ground	OK									
1	1	C	10	DF	1	43.1	1	45.6	1	47.5	1	48.6	1	51.2	1	55.3	1					OK			GPS NOTES 2009: PLOT 1-1C						
1	1	C	12	DF	1	27.3	1	27.6	1	28.5	1	28.2	4	 	4		4				00-DEAD STANDING-NO PW; 09 broken below dbh			OK	ACCURACY + OR- 25FT						
1	1	C	13	HL												15.8	1				09- suppressed	OK			"N44.53120°, W123.54173°"						
1	1	C	14	HL	1	26.7	1	27.3	1	18.3	1	30	1	32.3	1	34.1	1					OK									
1	1	C	15	HL	1	41.5	1	43.1	1	44.8	1	47.3	1	50.6	1	53.1	1					OK									
1	1	C	17	DF	1	24.7	1	25.2	1	25.2	1	25.9	1	25.5	4	 	4	Dead fallen snag			09- Dead top off	OK									
1	1	C	19	DF	1	66.9	1	69	1	71	1	73.8	1	 	3		3				09- confirmed PW	OK									
1	1	C	20	DF	1	62.5	1	64.7	1	67.2	1	70.8	1	75.1	1	80.1	1	Tag 4864				OK									
1	1	C	21	DF	1	25.8	1	26.3	1	26.3	1	26.9	1	26.8	1	25.6	1					OK									
1	1	C	23	HL	1	21	1	21.3	1	21.9	1	23.6	1	26.3	1	28.8	1					OK									
1	1	C	24	DF	1	46.5	1	50.5	1	55	1	59	1	66.5	1	73.9	1					OK									
1	1	C	25	DF	1	24.7	1	24.6	1	24.5	1		4	24.8	4		4	Snag			95- has beeltes   00-DEAD STANDING-NO PW; 09- top off			OK							
1	1	C	26	HL	1	29.7	1	30.2	1	30.1	1	30.9	1	 	4		4				00-INJURED BY FALLING PW(OFF PLOT)				OK						
1	1	C	27	HL	1	16.8	1	16.9	1	17.4	1	18.4	1	18.3	2	18	4	Snag			"00-INJURED BY FALLING PW(OFF PLOT), 09 suppressed"				OK						
1	1	C	28	HL	1	31	1	31.7	1	33.2	1	34.6	1	36.7	1	40.8	1					OK									
1	1	C	29	DF	3		3		3		3		3	 	3		3					OK									
1	1	C	30	DF	1	37.8	1	41.1	1	45.3	1	48.3	1	56.4	1	66	1					OK									
1	1	C	31	HL	1	25.8	1	25.8	1	26.7	1	27.5	1	29.2	1	33.2	1					OK									
1	1	D	1	DF	1	65.8	1	67.7	1	70.7	1	74.2	1	79.5	1	83.8	1	Tag #4651				OK									
1	1	D	2	DF	1	47.4	1	48.5	1	50.3	1	52.5	1	54.8	1	57.7	1					OK									
1	1	D	3	DF	1	27.1	1	27.8	1	28.2	1	29	1	29	4		4	Snag			09- DEAD STANDING	OK									
1	1	D	6	DF	1	67.5	1	68.3	1	73	1	74.7	1	81	1	86.2	1					OK									
1	1	D	7	DF	1	20.8	1	20.5	1	21	4		4		4		4				95-beetles suppressed; 09- DEAD STANDING	OK									
1	1	D	8	DF	1	66.5	1	70.3	1	73.1	1	76.5	1	80.1	1	85	1					OK									
1	1	D	10	DF	1	54.5	1	55.9	1	54.6	1	58.4	1	61.9	1	65	1				09 UNMARKED E CEPT DBH LINE ASSUMING THIS IS TREE 10 FROM PLACEMENT IN THE STAND AND SIZE APPEARS TO BE CORRECT	OK									
1	1	D	11	RC	1	28	1	28.5	1	29.4	1	30.2	1	33.9	1	32.8	1					OK									
1	1	D	12	DF	3		3		3		3		3	 	3		3					OK									
1	1	D	13	DF	1	18.7	1	18.9	1	19.1	4		4		4		4				95-Am present  00-STANDING; 09 DEAD STANDING		OK								
1	1	D	14	DF	1	63.2	1	68.2	1	73.2	1	77.8	1	85.8	1	94.5	1					OK									
1	1	D	15	HL	1	22.9	1	23.1	1	28.8	1	24.6	1	24.8	1	25.1	1				2= LIVE TREE WITH SYMPTOMS	OK	NOTES 2009 FOR PLOT 1-1D: 								
1	1	D	16	HL	1	27.3	1	27.2	1	27.2	1	27.6	1	27.3	1	28.1	1				3= PW	OK	"GPS  N44.53032°, W123.54843°"								
1	1	D	17	HL	1	22.8	1	23.2	1	24	1	24.8	1	26.1	1	28	1				4= DEAD NOT PW	OK	ACCURACY + OR- 22 FT								
1	1	D	18	DF	1	35.1	1	36.3	1	38.9	1	38.3	1	40.5	1	40.3	1					OK	GARMIN 60c  		WAYPOINT88						
1	1	D	19	DF	1	23.5	1	23.3	4	26	4		4		4		4				95-stem break; 09 BROKEN AT 6FT	OK									
1	1	D	20	DF	1	56.6	1	59.5	1	62.6	1	66.1	1	70.2	1	77.3	1					OK									
1	1	D	21	DF			3		3		3		3	 	3		3					OK									
1	1	D	22	DF	1	38.6	1	38.5	1	38.7	1		3	 	3		3				00-SNAP-PW; 09 PW SAMPLED		OK								
1	1	D	23	DF	1	44.9	1	47.1	1	50.3	1	53.5	1	57.2	1	62.5	1					OK									
1	1	D	24	DF	1	40.7	1	41.7	1	42.4	1	43	1	43.5	2	43.7	2				0= HARVESTED- STUMP	OK									
1	1	D	25	DF	1	47.7	1	49.8	1	50.2	1	52.4	1	56.4	1	59.6	1				"1= GREEN TREE, HEALTHY"	OK									
1	1	D	26	HL	1					16.3	1	17.7	1	19.6	1	21.2	1				5= STANDING DEAD PROBABLE BEETLES	OK									
1	1	E	1	DF	1	38.7	1	40.2	1	42.3	1	43.2	1	44.3	1	46.2	1	Tag#4543				OK									
1	1	E	2	DF	1	33.9	1	34.7	1	35.5	1	37.2	1	37.6	1	38.6	2	Resinosous				OK									
1	1	E	3	DF	1	54.7	1	57.4	1	59.4	1	61.9	1		1	70.4	1				09- DBH AS 51.5CM?	OK									
1	1	E	4	DF	1	60.2	1	64.9	1	67.8	1	70	1	78.5	1	87.7	1					OK									
1	1	E	5	HL	1	16.7	1	16.8	1	18	1	18.5	1	19	1	18.7	1				95-twin stem with 22	OK			GPS NOTES 2009: PLOT 1-1E						
1	1	E	6	RC	1	61	1	61.8	1	62.7	1	67.5	1	69.8	1	77	1	 				OK			GARMIN60C  WAYPOINT 1-1E						
1	1	E	7	DF	1	29	1	31.3	1	31.5	1	34.1	1	35.8	1	36	1				0= HARVESTED- STUMP	OK			"ACCURACY, NOT RECORDED"						
1	1	E	8	DF	1	16.2	1	16.3	3		3		3	 	3		3				"1= GREEN TREE, HEALTHY"	OK			"N44.53027, W123.54727"						
1	1	E	9	DF	1	58.4	1	62.7	1	67	1	72.2	1	77	1	84	2	Thin crown.			2= LIVE TREE WITH SYMPTOMS	OK									
1	1	E	10	HL	1	40	1	40.8	1	39.7	1	40.3	1	40.8	1	39.2	1				95-twin stem with 21	OK			NOTE: SITE D ALMOST DUE WEST OF 						
1	1	E	11	DF			3		3		3		3	 	3		3				3= PW	OK			"THIS SITE (273°), ON MAP D APPEARS"						
1	1	E	12	DF			3		3		3		3	 	3		3				4= DEAD NOT PW	OK			NORTH OF E						
1	1	E	13	DF	1	29.8	1	29.8	3		3		3	 	3		3				5= STANDING DEAD PROBABLE BEETLES	OK									
1	1	E	14	DF	1	50.6	1	54	1	58	1	61.3	1	67.5	1	73	1					OK									
1	1	E	15	RC	1					16.6	1	17.8	1	19	1	20.1	1					OK									
1	1	E	16	DF	1	21.4	1	21.7	1	22.2	4		4		4		4	Dead now -2020			95-suppressed	OK									
1	1	E	17	DF	1	26.3	1	26.2	3		3		3	 	3		3	Dead now -2020				OK									
1	1	E	18	DF	1	60.8	1	64.3	1	66.2	1	69.6	1	74	1	79.1	1					OK									
1	1	E	19	DF	4		4		4		4		4		4		4					OK									
1	1	E	20	DF	4		4		4		4		4		4		4					OK									
1	1	E	21	HL						39.8	1	42.8	1	42.2	1	41.6	1				95-twin stem with 10	OK									
1	1	E	22	HL						16.9	1	17.1	1	17.5	1	17.5	1	#24 - HL - 9.6 DBH. Positive LRR stump near 			95-twin stem with 5	OK									
1	2	A	1	DF	1	50.3	1	54.1	1	56.9	1	60.8	1	65.2	2	71.1	2				0= HARVESTED- STUMP	OK									
1	2	A	2	DF	1	44.7	1	46.9	1	49	1	51.3	1	54	1	57	1				"1= GREEN TREE, HEALTHY"	OK									
1	2	A	4	HL	1	16.6	1	17.5	1	19	1	21.2	1	24.3	1	27.5	1					OK			"N44.53659, W 123.53177 IN DEGREES"						
1	2	A	5	DF	1	63.7	1	65.7	1	69	1	73.4	1	78	2	86.7	2				3= PW	OK			FOR PLOT 1-2A						
1	2	A	6	RC	1							17.1	1	19.7	1	21.5	1					OK									
1	2	A	7	DF	1	56.5	1	59	1	61.3	1	63.7	1	68	1	76	1				4= DEAD NOT PW	OK									
1	2	A	8	DF	1	35.1	1	35.2	1	35.3	1	35.5	1	35.7	2	35.7	2				5= STANDING DEAD PROBABLE BEETLES	OK									
1	2	A	9	DF	1	61	1	63.9	1	66.2	1	70	1	76.4	1	83.1	2					OK									
1	2	A	10	DF	1	48.1	1	50.2	1	52.8	1	54.5	1	55.8	1	56.1	2				00-OLD PW ON PLOT		OK								
1	2	A	11	DF	1	45.4	1	47.1	1	49.2	1	51.4	1	55.3	1	57.9	2					OK									
1	2	A	12	DF	1	33.1	1	33.6	1	35	1	34	1	34.3	2	34.2	2					OK									
1	2	A	13	DF			3		3		3		3	 	3		3					OK									
1	2	A	14	RC	1					20.1	1	26.2	1	30.5	1	34	1					OK	confirmed as RC from other spread sheet. LS								
1	2	A	15	RC	2		3		3		3		3	 	3		3				missing	OK									
1	2	A	16	DF	1	30.3	1	30.8	1	31	1	31.3	1	32	3		3				09- possible pw could not confirm from sample	OK	4 OR 3 COND								
1	2	A	17	DF	1	57.9	1	61.3	1	63.5	1	66.8	1	66.8	3		3				09- PW CONFIRMED	OK									
1	2	A	18	DF	1	60.3	1	63.5	1	65	1	65.9	1	70	2	75	2					OK									
1	2	A	19	DF	1	36.9	1	38.5	1	40.3	1	42	1	46.2	1	45.2	1					OK									
1	2	A	20	RA			1	37.1	1	36.8	1	37.1	1	 	4		4				missing	OK	ACCURACY + OR- 30 FT								
1	2	A	23													15.8	1	"New tree, not previously included, on boarder"													
1	2	A	26													18.9	1	"New tree, not previously included, on boarder"													
1	2	B	1	DF	1	22.4	1	22.4	1	22.4	3		3	 	3		3				00-DEAD STANDING		OK								
1	2	B	2	DF	1	53.2	1	55.8	1	58.1	1	60	1	61.6	3		3				09- PW CONFIRMED	OK									
